Survival Obtainable,Name,Id,Stackability,Storage,Numerical Id,Stack Size,Survival Obtainable
YES,Acacia Sapling,acacia_sapling,64 Stackable,-,36,64,TRUE
YES,Dark Oak Sapling,dark_oak_sapling,64 Stackable,-,37,64,TRUE
YES,Mangrove Propagule,mangrove_propagule,64 Stackable,-,38,64,TRUE
YES,Sand,sand,64 Stackable,-,40,64,TRUE
YES,Red Sand,red_sand,64 Stackable,-,41,64,TRUE
YES,Gravel,gravel,64 Stackable,-,42,64,TRUE
YES,Coal Ore,coal_ore,64 Stackable,-,43,64,TRUE
YES,Deepslate Coal Ore,deepslate_coal_ore,64 Stackable,-,44,64,TRUE
YES,Iron Ore,iron_ore,64 Stackable,-,45,64,TRUE
YES,Deepslate Iron Ore,deepslate_iron_ore,64 Stackable,-,46,64,TRUE
YES,Copper Ore,copper_ore,64 Stackable,-,47,64,TRUE
YES,Deepslate Copper Ore,deepslate_copper_ore,64 Stackable,-,48,64,TRUE
YES,Gold Ore,gold_ore,64 Stackable,-,49,64,TRUE
YES,Deepslate Gold Ore,deepslate_gold_ore,64 Stackable,-,50,64,TRUE
YES,Redstone Ore,redstone_ore,64 Stackable,-,51,64,TRUE
YES,Deepslate Redstone Ore,deepslate_redstone_ore,64 Stackable,-,52,64,TRUE
YES,Emerald Ore,emerald_ore,64 Stackable,-,53,64,TRUE
YES,Deepslate Emerald Ore,deepslate_emerald_ore,64 Stackable,-,54,64,TRUE
YES,Lapis Lazuli Ore,lapis_ore,64 Stackable,-,55,64,TRUE
YES,Deepslate Lapis Lazuli Ore,deepslate_lapis_ore,64 Stackable,-,56,64,TRUE
YES,Diamond Ore,diamond_ore,64 Stackable,-,57,64,TRUE
YES,Deepslate Diamond Ore,deepslate_diamond_ore,64 Stackable,-,58,64,TRUE
YES,Nether Gold Ore,nether_gold_ore,64 Stackable,-,59,64,TRUE
YES,Nether Quartz Ore,nether_quartz_ore,64 Stackable,-,60,64,TRUE
YES,Ancient Debris,ancient_debris,64 Stackable,-,61,64,TRUE
YES,Block of Coal,coal_block,64 Stackable,-,62,64,TRUE
YES,Block of Raw Iron,raw_iron_block,64 Stackable,-,63,64,TRUE
YES,Block of Raw Copper,raw_copper_block,64 Stackable,-,64,64,TRUE
YES,Block of Raw Gold,raw_gold_block,64 Stackable,-,65,64,TRUE
YES,Block of Amethyst,amethyst_block,64 Stackable,-,66,64,TRUE
YES,Block of Iron,iron_block,64 Stackable,-,68,64,TRUE
YES,Block of Copper,copper_block,64 Stackable,-,69,64,TRUE
YES,Block of Gold,gold_block,64 Stackable,-,70,64,TRUE
YES,Block of Diamond,diamond_block,64 Stackable,-,71,64,TRUE
YES,Block of Netherite,netherite_block,64 Stackable,-,72,64,TRUE
YES,Exposed Copper,exposed_copper,64 Stackable,-,73,64,TRUE
YES,Weathered Copper,weathered_copper,64 Stackable,-,74,64,TRUE
YES,Oxidized Copper,oxidized_copper,64 Stackable,-,75,64,TRUE
YES,Cut Copper,cut_copper,64 Stackable,-,76,64,TRUE
YES,Exposed Cut Copper,exposed_cut_copper,64 Stackable,-,77,64,TRUE
YES,Weathered Cut Copper,weathered_cut_copper,64 Stackable,-,78,64,TRUE
YES,Oxidized Cut Copper,oxidized_cut_copper,64 Stackable,-,79,64,TRUE
YES,Cut Copper Stairs,cut_copper_stairs,64 Stackable,-,80,64,TRUE
YES,Exposed Cut Copper Stairs,exposed_cut_copper_stairs,64 Stackable,-,81,64,TRUE
YES,Weathered Cut Copper Stairs,weathered_cut_copper_stairs,64 Stackable,-,82,64,TRUE
YES,Oxidized Cut Copper Stairs,oxidized_cut_copper_stairs,64 Stackable,-,83,64,TRUE
YES,Cut Copper Slab,cut_copper_slab,64 Stackable,-,84,64,TRUE
YES,Exposed Cut Copper Slab,exposed_cut_copper_slab,64 Stackable,-,85,64,TRUE
YES,Weathered Cut Copper Slab,weathered_cut_copper_slab,64 Stackable,-,86,64,TRUE
YES,Oxidized Cut Copper Slab,oxidized_cut_copper_slab,64 Stackable,-,87,64,TRUE
YES,Waxed Block of Copper,waxed_copper_block,64 Stackable,-,88,64,TRUE
YES,Waxed Exposed Copper,waxed_exposed_copper,64 Stackable,-,89,64,TRUE
YES,Waxed Weathered Copper,waxed_weathered_copper,64 Stackable,-,90,64,TRUE
YES,Waxed Oxidized Copper,waxed_oxidized_copper,64 Stackable,-,91,64,TRUE
YES,Waxed Cut Copper,waxed_cut_copper,64 Stackable,-,92,64,TRUE
YES,Waxed Exposed Cut Copper,waxed_exposed_cut_copper,64 Stackable,-,93,64,TRUE
YES,Waxed Weathered Cut Copper,waxed_weathered_cut_copper,64 Stackable,-,94,64,TRUE
YES,Waxed Oxidized Cut Copper,waxed_oxidized_cut_copper,64 Stackable,-,95,64,TRUE
YES,Waxed Cut Copper Stairs,waxed_cut_copper_stairs,64 Stackable,-,96,64,TRUE
YES,Waxed Exposed Cut Copper Stairs,waxed_exposed_cut_copper_stairs,64 Stackable,-,97,64,TRUE
YES,Waxed Weathered Cut Copper Stairs,waxed_weathered_cut_copper_stairs,64 Stackable,-,98,64,TRUE
YES,Waxed Oxidized Cut Copper Stairs,waxed_oxidized_cut_copper_stairs,64 Stackable,-,99,64,TRUE
YES,Waxed Cut Copper Slab,waxed_cut_copper_slab,64 Stackable,-,100,64,TRUE
YES,Waxed Exposed Cut Copper Slab,waxed_exposed_cut_copper_slab,64 Stackable,-,101,64,TRUE
YES,Waxed Weathered Cut Copper Slab,waxed_weathered_cut_copper_slab,64 Stackable,-,102,64,TRUE
YES,Waxed Oxidized Cut Copper Slab,waxed_oxidized_cut_copper_slab,64 Stackable,-,103,64,TRUE
YES,Oak Log,oak_log,64 Stackable,-,104,64,TRUE
YES,Spruce Log,spruce_log,64 Stackable,-,105,64,TRUE
YES,Birch Log,birch_log,64 Stackable,-,106,64,TRUE
YES,Jungle Log,jungle_log,64 Stackable,-,107,64,TRUE
YES,Acacia Log,acacia_log,64 Stackable,-,108,64,TRUE
YES,Dark Oak Log,dark_oak_log,64 Stackable,-,109,64,TRUE
YES,Mangrove Log,mangrove_log,64 Stackable,-,110,64,TRUE
YES,Mangrove Roots,mangrove_roots,64 Stackable,-,111,64,TRUE
YES,Muddy Mangrove Roots,muddy_mangrove_roots,64 Stackable,-,112,64,TRUE
YES,Crimson Stem,crimson_stem,64 Stackable,-,113,64,TRUE
YES,Warped Stem,warped_stem,64 Stackable,-,114,64,TRUE
YES,Stripped Oak Log,stripped_oak_log,64 Stackable,-,115,64,TRUE
YES,Stripped Spruce Log,stripped_spruce_log,64 Stackable,-,116,64,TRUE
YES,Stripped Birch Log,stripped_birch_log,64 Stackable,-,117,64,TRUE
YES,Stripped Jungle Log,stripped_jungle_log,64 Stackable,-,118,64,TRUE
YES,Stripped Acacia Log,stripped_acacia_log,64 Stackable,-,119,64,TRUE
YES,Stripped Dark Oak Log,stripped_dark_oak_log,64 Stackable,-,120,64,TRUE
YES,Stripped Mangrove Log,stripped_mangrove_log,64 Stackable,-,121,64,TRUE
YES,Stripped Crimson Stem,stripped_crimson_stem,64 Stackable,-,122,64,TRUE
YES,Stripped Warped Stem,stripped_warped_stem,64 Stackable,-,123,64,TRUE
YES,Stripped Oak Wood,stripped_oak_wood,64 Stackable,-,124,64,TRUE
YES,Stripped Spruce Wood,stripped_spruce_wood,64 Stackable,-,125,64,TRUE
YES,Stripped Birch Wood,stripped_birch_wood,64 Stackable,-,126,64,TRUE
YES,Stripped Jungle Wood,stripped_jungle_wood,64 Stackable,-,127,64,TRUE
YES,Stripped Acacia Wood,stripped_acacia_wood,64 Stackable,-,128,64,TRUE
YES,Stripped Dark Oak Wood,stripped_dark_oak_wood,64 Stackable,-,129,64,TRUE
YES,Stripped Mangrove Wood,stripped_mangrove_wood,64 Stackable,-,130,64,TRUE
YES,Stripped Crimson Hyphae,stripped_crimson_hyphae,64 Stackable,-,131,64,TRUE
YES,Stripped Warped Hyphae,stripped_warped_hyphae,64 Stackable,-,132,64,TRUE
YES,Oak Wood,oak_wood,64 Stackable,-,133,64,TRUE
YES,Spruce Wood,spruce_wood,64 Stackable,-,134,64,TRUE
YES,Birch Wood,birch_wood,64 Stackable,-,135,64,TRUE
YES,Jungle Wood,jungle_wood,64 Stackable,-,136,64,TRUE
YES,Acacia Wood,acacia_wood,64 Stackable,-,137,64,TRUE
YES,Dark Oak Wood,dark_oak_wood,64 Stackable,-,138,64,TRUE
YES,Mangrove Wood,mangrove_wood,64 Stackable,-,139,64,TRUE
YES,Crimson Hyphae,crimson_hyphae,64 Stackable,-,140,64,TRUE
YES,Warped Hyphae,warped_hyphae,64 Stackable,-,141,64,TRUE
YES,Oak Leaves,oak_leaves,64 Stackable,-,142,64,TRUE
YES,Spruce Leaves,spruce_leaves,64 Stackable,-,143,64,TRUE
YES,Birch Leaves,birch_leaves,64 Stackable,-,144,64,TRUE
YES,Jungle Leaves,jungle_leaves,64 Stackable,-,145,64,TRUE
YES,Acacia Leaves,acacia_leaves,64 Stackable,-,146,64,TRUE
YES,Dark Oak Leaves,dark_oak_leaves,64 Stackable,-,147,64,TRUE
YES,Mangrove Leaves,mangrove_leaves,64 Stackable,-,148,64,TRUE
YES,Azalea Leaves,azalea_leaves,64 Stackable,-,149,64,TRUE
YES,Flowering Azalea Leaves,flowering_azalea_leaves,64 Stackable,-,150,64,TRUE
YES,Sponge,sponge,64 Stackable,-,151,64,TRUE
YES,Wet Sponge,wet_sponge,64 Stackable,-,152,64,TRUE
YES,Glass,glass,64 Stackable,-,153,64,TRUE
YES,Tinted Glass,tinted_glass,64 Stackable,-,154,64,TRUE
YES,Block of Lapis Lazuli,lapis_block,64 Stackable,-,155,64,TRUE
YES,Sandstone,sandstone,64 Stackable,-,156,64,TRUE
YES,Chiseled Sandstone,chiseled_sandstone,64 Stackable,-,157,64,TRUE
YES,Cut Sandstone,cut_sandstone,64 Stackable,-,158,64,TRUE
YES,Cobweb,cobweb,64 Stackable,-,159,64,TRUE
YES,Grass,grass,64 Stackable,-,160,64,TRUE
YES,Fern,fern,64 Stackable,-,161,64,TRUE
YES,Azalea,azalea,64 Stackable,-,162,64,TRUE
YES,Flowering Azalea,flowering_azalea,64 Stackable,-,163,64,TRUE
YES,Dead Bush,dead_bush,64 Stackable,-,164,64,TRUE
YES,Seagrass,seagrass,64 Stackable,-,165,64,TRUE
YES,Sea Pickle,sea_pickle,64 Stackable,-,166,64,TRUE
YES,White Wool,white_wool,64 Stackable,-,167,64,TRUE
YES,Orange Wool,orange_wool,64 Stackable,-,168,64,TRUE
YES,Magenta Wool,magenta_wool,64 Stackable,-,169,64,TRUE
YES,Light Blue Wool,light_blue_wool,64 Stackable,-,170,64,TRUE
YES,Yellow Wool,yellow_wool,64 Stackable,-,171,64,TRUE
YES,Lime Wool,lime_wool,64 Stackable,-,172,64,TRUE
YES,Pink Wool,pink_wool,64 Stackable,-,173,64,TRUE
YES,Gray Wool,gray_wool,64 Stackable,-,174,64,TRUE
YES,Light Gray Wool,light_gray_wool,64 Stackable,-,175,64,TRUE
YES,Cyan Wool,cyan_wool,64 Stackable,-,176,64,TRUE
YES,Purple Wool,purple_wool,64 Stackable,-,177,64,TRUE
YES,Blue Wool,blue_wool,64 Stackable,-,178,64,TRUE
YES,Brown Wool,brown_wool,64 Stackable,-,179,64,TRUE
YES,Green Wool,green_wool,64 Stackable,-,180,64,TRUE
YES,Red Wool,red_wool,64 Stackable,-,181,64,TRUE
YES,Black Wool,black_wool,64 Stackable,-,182,64,TRUE
YES,Dandelion,dandelion,64 Stackable,-,183,64,TRUE
YES,Poppy,poppy,64 Stackable,-,184,64,TRUE
YES,Blue Orchid,blue_orchid,64 Stackable,-,185,64,TRUE
YES,Allium,allium,64 Stackable,-,186,64,TRUE
YES,Azure Bluet,azure_bluet,64 Stackable,-,187,64,TRUE
YES,Red Tulip,red_tulip,64 Stackable,-,188,64,TRUE
YES,Orange Tulip,orange_tulip,64 Stackable,-,189,64,TRUE
YES,White Tulip,white_tulip,64 Stackable,-,190,64,TRUE
YES,Pink Tulip,pink_tulip,64 Stackable,-,191,64,TRUE
YES,Oxeye Daisy,oxeye_daisy,64 Stackable,-,192,64,TRUE
YES,Cornflower,cornflower,64 Stackable,-,193,64,TRUE
YES,Lily of the Valley,lily_of_the_valley,64 Stackable,-,194,64,TRUE
YES,Wither Rose,wither_rose,64 Stackable,-,195,64,TRUE
YES,Spore Blossom,spore_blossom,64 Stackable,-,196,64,TRUE
YES,Brown Mushroom,brown_mushroom,64 Stackable,-,197,64,TRUE
YES,Red Mushroom,red_mushroom,64 Stackable,-,198,64,TRUE
YES,Crimson Fungus,crimson_fungus,64 Stackable,-,199,64,TRUE
YES,Warped Fungus,warped_fungus,64 Stackable,-,200,64,TRUE
YES,Crimson Roots,crimson_roots,64 Stackable,-,201,64,TRUE
YES,Warped Roots,warped_roots,64 Stackable,-,202,64,TRUE
YES,Nether Sprouts,nether_sprouts,64 Stackable,-,203,64,TRUE
YES,Weeping Vines,weeping_vines,64 Stackable,-,204,64,TRUE
YES,Twisting Vines,twisting_vines,64 Stackable,-,205,64,TRUE
YES,Sugar Cane,sugar_cane,64 Stackable,-,206,64,TRUE
YES,Kelp,kelp,64 Stackable,-,207,64,TRUE
YES,Moss Carpet,moss_carpet,64 Stackable,-,208,64,TRUE
YES,Moss Block,moss_block,64 Stackable,-,209,64,TRUE
YES,Hanging Roots,hanging_roots,64 Stackable,-,210,64,TRUE
YES,Big Dripleaf,big_dripleaf,64 Stackable,-,211,64,TRUE
YES,Small Dripleaf,small_dripleaf,64 Stackable,-,212,64,TRUE
YES,Bamboo,bamboo,64 Stackable,-,213,64,TRUE
YES,Oak Slab,oak_slab,64 Stackable,-,214,64,TRUE
YES,Spruce Slab,spruce_slab,64 Stackable,-,215,64,TRUE
YES,Birch Slab,birch_slab,64 Stackable,-,216,64,TRUE
YES,Jungle Slab,jungle_slab,64 Stackable,-,217,64,TRUE
YES,Acacia Slab,acacia_slab,64 Stackable,-,218,64,TRUE
YES,Dark Oak Slab,dark_oak_slab,64 Stackable,-,219,64,TRUE
YES,Mangrove Slab,mangrove_slab,64 Stackable,-,220,64,TRUE
YES,Crimson Slab,crimson_slab,64 Stackable,-,221,64,TRUE
YES,Warped Slab,warped_slab,64 Stackable,-,222,64,TRUE
YES,Stone Slab,stone_slab,64 Stackable,-,223,64,TRUE
YES,Smooth Stone Slab,smooth_stone_slab,64 Stackable,-,224,64,TRUE
YES,Sandstone Slab,sandstone_slab,64 Stackable,-,225,64,TRUE
YES,Cut Sandstone Slab,cut_sandstone_slab,64 Stackable,-,226,64,TRUE
YES,Cobblestone Slab,cobblestone_slab,64 Stackable,-,228,64,TRUE
YES,Brick Slab,brick_slab,64 Stackable,-,229,64,TRUE
YES,Stone Brick Slab,stone_brick_slab,64 Stackable,-,230,64,TRUE
YES,Mud Brick Slab,mud_brick_slab,64 Stackable,-,231,64,TRUE
YES,Nether Brick Slab,nether_brick_slab,64 Stackable,-,232,64,TRUE
YES,Quartz Slab,quartz_slab,64 Stackable,-,233,64,TRUE
YES,Red Sandstone Slab,red_sandstone_slab,64 Stackable,-,234,64,TRUE
YES,Cut Red Sandstone Slab,cut_red_sandstone_slab,64 Stackable,-,235,64,TRUE
YES,Purpur Slab,purpur_slab,64 Stackable,-,236,64,TRUE
YES,Prismarine Slab,prismarine_slab,64 Stackable,-,237,64,TRUE
YES,Prismarine Brick Slab,prismarine_brick_slab,64 Stackable,-,238,64,TRUE
YES,Dark Prismarine Slab,dark_prismarine_slab,64 Stackable,-,239,64,TRUE
YES,Smooth Quartz Block,smooth_quartz,64 Stackable,-,240,64,TRUE
YES,Smooth Red Sandstone,smooth_red_sandstone,64 Stackable,-,241,64,TRUE
YES,Smooth Sandstone,smooth_sandstone,64 Stackable,-,242,64,TRUE
YES,Smooth Stone,smooth_stone,64 Stackable,-,243,64,TRUE
YES,Bricks,bricks,64 Stackable,-,244,64,TRUE
YES,Bookshelf,bookshelf,64 Stackable,-,245,64,TRUE
YES,Mossy Cobblestone,mossy_cobblestone,64 Stackable,-,246,64,TRUE
YES,Obsidian,obsidian,64 Stackable,-,247,64,TRUE
YES,Torch,torch,64 Stackable,-,248,64,TRUE
YES,End Rod,end_rod,64 Stackable,-,249,64,TRUE
YES,Chorus Flower,chorus_flower,64 Stackable,-,251,64,TRUE
YES,Purpur Block,purpur_block,64 Stackable,-,252,64,TRUE
YES,Purpur Pillar,purpur_pillar,64 Stackable,-,253,64,TRUE
YES,Purpur Stairs,purpur_stairs,64 Stackable,-,254,64,TRUE
YES,Chest,chest,64 Stackable,-,256,64,TRUE
YES,Crafting Table,crafting_table,64 Stackable,-,257,64,TRUE
YES,Furnace,furnace,64 Stackable,-,259,64,TRUE
YES,Ladder,ladder,64 Stackable,-,260,64,TRUE
YES,Cobblestone Stairs,cobblestone_stairs,64 Stackable,-,261,64,TRUE
YES,Snow,snow,64 Stackable,-,262,64,TRUE
YES,Ice,ice,64 Stackable,-,263,64,TRUE
YES,Snow Block,snow_block,64 Stackable,-,264,64,TRUE
YES,Cactus,cactus,64 Stackable,-,265,64,TRUE
YES,Clay,clay,64 Stackable,-,266,64,TRUE
YES,Jukebox,jukebox,64 Stackable,-,267,64,TRUE
YES,Oak Fence,oak_fence,64 Stackable,-,268,64,TRUE
YES,Spruce Fence,spruce_fence,64 Stackable,-,269,64,TRUE
YES,Birch Fence,birch_fence,64 Stackable,-,270,64,TRUE
YES,Jungle Fence,jungle_fence,64 Stackable,-,271,64,TRUE
YES,Acacia Fence,acacia_fence,64 Stackable,-,272,64,TRUE
YES,Dark Oak Fence,dark_oak_fence,64 Stackable,-,273,64,TRUE
YES,Mangrove Fence,mangrove_fence,64 Stackable,-,274,64,TRUE
YES,Crimson Fence,crimson_fence,64 Stackable,-,275,64,TRUE
YES,Warped Fence,warped_fence,64 Stackable,-,276,64,TRUE
YES,Pumpkin,pumpkin,64 Stackable,-,277,64,TRUE
YES,Carved Pumpkin,carved_pumpkin,64 Stackable,-,278,64,TRUE
YES,Jack o'Lantern,jack_o_lantern,64 Stackable,-,279,64,TRUE
YES,Netherrack,netherrack,64 Stackable,-,280,64,TRUE
YES,Soul Sand,soul_sand,64 Stackable,-,281,64,TRUE
YES,Soul Soil,soul_soil,64 Stackable,-,282,64,TRUE
YES,Basalt,basalt,64 Stackable,-,283,64,TRUE
YES,Polished Basalt,polished_basalt,64 Stackable,-,284,64,TRUE
YES,Smooth Basalt,smooth_basalt,64 Stackable,-,285,64,TRUE
YES,Soul Torch,soul_torch,64 Stackable,-,286,64,TRUE
YES,Glowstone,glowstone,64 Stackable,-,287,64,TRUE
YES,Stone Bricks,stone_bricks,64 Stackable,-,295,64,TRUE
YES,Mossy Stone Bricks,mossy_stone_bricks,64 Stackable,-,296,64,TRUE
YES,Cracked Stone Bricks,cracked_stone_bricks,64 Stackable,-,297,64,TRUE
YES,Chiseled Stone Bricks,chiseled_stone_bricks,64 Stackable,-,298,64,TRUE
YES,Packed Mud,packed_mud,64 Stackable,-,299,64,TRUE
YES,Mud Bricks,mud_bricks,64 Stackable,-,300,64,TRUE
YES,Deepslate Bricks,deepslate_bricks,64 Stackable,-,301,64,TRUE
YES,Cracked Deepslate Bricks,cracked_deepslate_bricks,64 Stackable,-,302,64,TRUE
YES,Deepslate Tiles,deepslate_tiles,64 Stackable,-,303,64,TRUE
YES,Cracked Deepslate Tiles,cracked_deepslate_tiles,64 Stackable,-,304,64,TRUE
YES,Chiseled Deepslate,chiseled_deepslate,64 Stackable,-,305,64,TRUE
YES,Brown Mushroom Block,brown_mushroom_block,64 Stackable,-,307,64,TRUE
YES,Red Mushroom Block,red_mushroom_block,64 Stackable,-,308,64,TRUE
YES,Mushroom Stem,mushroom_stem,64 Stackable,-,309,64,TRUE
YES,Iron Bars,iron_bars,64 Stackable,-,310,64,TRUE
YES,Chain,chain,64 Stackable,-,311,64,TRUE
YES,Glass Pane,glass_pane,64 Stackable,-,312,64,TRUE
YES,Melon,melon,64 Stackable,-,313,64,TRUE
YES,Vines,vine,64 Stackable,-,314,64,TRUE
YES,Glow Lichen,glow_lichen,64 Stackable,-,315,64,TRUE
YES,Brick Stairs,brick_stairs,64 Stackable,-,316,64,TRUE
YES,Stone Brick Stairs,stone_brick_stairs,64 Stackable,-,317,64,TRUE
YES,Mud Brick Stairs,mud_brick_stairs,64 Stackable,-,318,64,TRUE
YES,Mycelium,mycelium,64 Stackable,-,319,64,TRUE
YES,Lily Pad,lily_pad,64 Stackable,-,320,64,TRUE
YES,Nether Bricks,nether_bricks,64 Stackable,-,321,64,TRUE
YES,Cracked Nether Bricks,cracked_nether_bricks,64 Stackable,-,322,64,TRUE
YES,Chiseled Nether Bricks,chiseled_nether_bricks,64 Stackable,-,323,64,TRUE
YES,Nether Brick Fence,nether_brick_fence,64 Stackable,-,324,64,TRUE
YES,Nether Brick Stairs,nether_brick_stairs,64 Stackable,-,325,64,TRUE
YES,Sculk,sculk,64 Stackable,-,326,64,TRUE
YES,Sculk Vein,sculk_vein,64 Stackable,-,327,64,TRUE
YES,Sculk Catalyst,sculk_catalyst,64 Stackable,-,328,64,TRUE
YES,Sculk Shrieker,sculk_shrieker,64 Stackable,-,329,64,TRUE
YES,Enchanting Table,enchanting_table,64 Stackable,-,330,64,TRUE
YES,End Stone,end_stone,64 Stackable,-,332,64,TRUE
YES,End Stone Bricks,end_stone_bricks,64 Stackable,-,333,64,TRUE
YES,Dragon Egg,dragon_egg,64 Stackable,-,334,64,TRUE
YES,Sandstone Stairs,sandstone_stairs,64 Stackable,-,335,64,TRUE
YES,Ender Chest,ender_chest,64 Stackable,-,336,64,TRUE
YES,Block of Emerald,emerald_block,64 Stackable,-,337,64,TRUE
YES,Oak Stairs,oak_stairs,64 Stackable,-,338,64,TRUE
YES,Spruce Stairs,spruce_stairs,64 Stackable,-,339,64,TRUE
YES,Birch Stairs,birch_stairs,64 Stackable,-,340,64,TRUE
YES,Jungle Stairs,jungle_stairs,64 Stackable,-,341,64,TRUE
YES,Acacia Stairs,acacia_stairs,64 Stackable,-,342,64,TRUE
YES,Dark Oak Stairs,dark_oak_stairs,64 Stackable,-,343,64,TRUE
YES,Mangrove Stairs,mangrove_stairs,64 Stackable,-,344,64,TRUE
YES,Crimson Stairs,crimson_stairs,64 Stackable,-,345,64,TRUE
YES,Warped Stairs,warped_stairs,64 Stackable,-,346,64,TRUE
YES,Beacon,beacon,64 Stackable,-,348,64,TRUE
YES,Cobblestone Wall,cobblestone_wall,64 Stackable,-,349,64,TRUE
YES,Mossy Cobblestone Wall,mossy_cobblestone_wall,64 Stackable,-,350,64,TRUE
YES,Brick Wall,brick_wall,64 Stackable,-,351,64,TRUE
YES,Prismarine Wall,prismarine_wall,64 Stackable,-,352,64,TRUE
YES,Red Sandstone Wall,red_sandstone_wall,64 Stackable,-,353,64,TRUE
YES,Mossy Stone Brick Wall,mossy_stone_brick_wall,64 Stackable,-,354,64,TRUE
YES,Granite Wall,granite_wall,64 Stackable,-,355,64,TRUE
YES,Stone Brick Wall,stone_brick_wall,64 Stackable,-,356,64,TRUE
YES,Mud Brick Wall,mud_brick_wall,64 Stackable,-,357,64,TRUE
YES,Nether Brick Wall,nether_brick_wall,64 Stackable,-,358,64,TRUE
YES,Andesite Wall,andesite_wall,64 Stackable,-,359,64,TRUE
YES,Red Nether Brick Wall,red_nether_brick_wall,64 Stackable,-,360,64,TRUE
YES,Sandstone Wall,sandstone_wall,64 Stackable,-,361,64,TRUE
YES,End Stone Brick Wall,end_stone_brick_wall,64 Stackable,-,362,64,TRUE
YES,Diorite Wall,diorite_wall,64 Stackable,-,363,64,TRUE
YES,Blackstone Wall,blackstone_wall,64 Stackable,-,364,64,TRUE
YES,Polished Blackstone Wall,polished_blackstone_wall,64 Stackable,-,365,64,TRUE
YES,Polished Blackstone Brick Wall,polished_blackstone_brick_wall,64 Stackable,-,366,64,TRUE
YES,Cobbled Deepslate Wall,cobbled_deepslate_wall,64 Stackable,-,367,64,TRUE
YES,Polished Deepslate Wall,polished_deepslate_wall,64 Stackable,-,368,64,TRUE
YES,Deepslate Brick Wall,deepslate_brick_wall,64 Stackable,-,369,64,TRUE
YES,Deepslate Tile Wall,deepslate_tile_wall,64 Stackable,-,370,64,TRUE
YES,Anvil,anvil,64 Stackable,-,371,64,TRUE
YES,Chipped Anvil,chipped_anvil,64 Stackable,-,372,64,TRUE
YES,Damaged Anvil,damaged_anvil,64 Stackable,-,373,64,TRUE
YES,Chiseled Quartz Block,chiseled_quartz_block,64 Stackable,-,374,64,TRUE
YES,Block of Quartz,quartz_block,64 Stackable,-,375,64,TRUE
YES,Quartz Bricks,quartz_bricks,64 Stackable,-,376,64,TRUE
YES,Quartz Pillar,quartz_pillar,64 Stackable,-,377,64,TRUE
YES,Quartz Stairs,quartz_stairs,64 Stackable,-,378,64,TRUE
YES,White Terracotta,white_terracotta,64 Stackable,-,379,64,TRUE
YES,Orange Terracotta,orange_terracotta,64 Stackable,-,380,64,TRUE
YES,Magenta Terracotta,magenta_terracotta,64 Stackable,-,381,64,TRUE
YES,Light Blue Terracotta,light_blue_terracotta,64 Stackable,-,382,64,TRUE
YES,Yellow Terracotta,yellow_terracotta,64 Stackable,-,383,64,TRUE
